# Prop layout for Level 02.
#
# Written by Dikdik > Save Prop Layout. Read back by every regeneration of
# this level, replacing the random scatter entirely.
#
# Delete this file to go back to procedural placement.
#
# model, posX, posY, posZ, eulerX, eulerY, eulerZ, scale, solid
rock, 14.7, 0, 23.6, 0, 39.24, 0, 6.44, 1
rock_largeB, -25.218, 0, 49.041, 0, 4.03, 0, 3.4, 1
rock, 13.423, 0, -25.031, 0, 137.55, 0, 4.54, 1
rock_largeA, -27.567, 0, 39.416, 0, 32.04, 0, 5.425, 1
rock_largeA, -44.095, 0, 4.437, 0, 322.54, 0, 5.425, 1
meteor, 17.263, 0, 34.741, 0, 249.06, 0, 2.897, 1
rock, 26.818, 0, 66.216, 0, 122.78, 0, 2.655, 1
rocks_smallB, 20.378, 0, 37.81, 0, 33.5, 0, 5.243, 1
rock_largeA, -47.627, 0, -1.991, 0, 346.17, 0, 4.499, 1
rock_largeB, 3.231, 0, -26.27, 0, 174.84, 0, 3.869, 1
rock, 3.141, 0, 31.813, 0, 214.33, 0, 6.082, 1
rock_largeB, -22.164, 0, -20.842, 0, 106.69, 0, 2.856, 1
rock_largeB, 3.891, 0, 56.077, 0, 30.86, 0, 4.633, 1
meteor, 14.959, 0, 61.023, 0, 191.68, 0, 3.176, 1
rocks_smallA, -1.234, 0, 64.025, 0, 17.45, 0, 5.053, 1
rocks_smallB, 17.135, 0, -20.915, 0, 122.37, 0, 5.579, 1
rocks_smallA, 15.795, 0, -12.206, 0, 17.78, 0, 4.954, 1
rock_largeA, -25.38, 0, 58.989, 0, 327.13, 0, 4.273, 1
rocks_smallA, 14.142, 0, -3.807, 0, 158.37, 0, 4.057, 1
rocks_smallB, -37.115, 0, 60.711, 0, 63.48, 0, 4.156, 1
rock_largeA, 1.773, 0, -23.408, 0, 321.6, 0, 5.739, 1
rock_largeB, 6.437, 0, -21.178, 0, 282.36, 0, 5.888, 1
rocks_smallA, -21.009, 0, -4.617, 0, 180.47, 0, 5.497, 1
rocks_smallB, -17.491, 0, -0.222, 0, 280.93, 0, 4.435, 1
rocks_smallA, 22.796, 0, 41.214, 0, 272.54, 0, 3.541, 1
rock, -22.352, 0, 1.353, 0, 317.97, 0, 3.293, 1
rock_largeB, 23.43, 0, 5.207, 0, 256.03, 0, 4.874, 1
rocks_smallB, 11.699, 0, 53.007, 0, 131.78, 0, 5.381, 1
rock_largeB, -31.235, 0, 17.337, 0, 198.64, 0, 5.136, 1
meteor, 1.127, 0, 28.398, 0, 342.65, 0, 6.052, 1
rock_largeA, 22.426, 0, -9.586, 0, 107.25, 0, 5.035, 1
rock, 25.3, 0, 22.349, 0, 199.24, 0, 2.711, 1
rock_largeA, -19.194, 0, 59.267, 0, 323.51, 0, 6.355, 1
rock, -49.955, 0, 51.614, 0, 271.8, 0, 2.652, 1
rock, 3.072, 0, 21.655, 0, 196.36, 0, 2.971, 1
hangar_smallB, 20, 0, 10, 0, 240, 0, 6, 0
satelliteDish_large, -22, 0, 19.504, 0, 40, 0, 5, 0
